"","Date","^GSPC","T","S","VOD","TMUS","MBT","PTNR","UAL","LUV","ALK","ATSG","SKYW","ALGT","PG","CLX","REV","UL","OBCI","KMB","JNJ","AMGN","PFE","ABT","BIIB","VRTX","BRK-B","JPM","BAC","WFC","C","AXP"
"33","2014-09-01",1972.290039,26.130699,6.34,23.705027,28.33313,8.634892,7.05,46.790001,32.021385,39.596401,7.28,7.361036,110.415855,70.561996,83.065834,31.690001,35.251034,3.817992,85.918968,91.730186,121.704857,24.236559,37.148643,330.809998,112.309998,138.139999,51.284199,15.482771,43.689167,47.67762,80.006683
"34","2014-10-01",2018.050049,25.834101,5.93,23.942873,28.647179,8.264989,6.51,52.810001,32.694618,48.408733,8.18,10.952034,119.175163,73.536491,86.058395,34.299999,33.846035,3.481934,92.016914,92.75428,140.524612,24.548021,38.935062,321.079987,112.639999,140.160004,51.488522,15.630701,44.71674,49.250931,82.209297
"35","2014-11-01",2067.560059,26.580591,5.12,26.342924,28.647179,7.202423,6.1,61.23,39.654549,53.683392,7.95,11.883719,125.237946,76.783272,88.550766,32.959999,35.45293,3.397919,97.922157,93.158783,143.23671,25.531578,39.968037,307.690002,117.879997,148.690002,51.561157,15.521393,45.887524,49.665195,84.718346
"36","2014-12-01",2058.899902,25.235785,4.15,25.023003,26.43902,4.231865,5.06,66.889999,40.128662,54.468334,8.56,12.625263,134.229416,77.343658,90.807671,34.16,34.368073,4.219394,97.040276,90.577896,138.547913,25.752708,40.425995,339.450012,118.800003,150.149994,53.635265,16.295637,46.479282,49.794022,85.286697
"37","2015-01-01",1994.98999,24.73242,4.3,25.726017,29.618769,4.632655,3.33,69.370003,42.901672,61.860222,8.33,11.97021,164.841583,71.569855,92.986137,32.740002,37.331135,4.480773,91.334099,86.740662,132.433319,25.835377,40.192528,389.160004,110.139999,143.910004,46.607315,13.84018,44.020508,43.205139,73.965836
"38","2015-02-01",2104.5,26.332882,5.12,25.308603,32.415768,5.835023,3.86,65.18,41.059505,58.013889,8.99,13.944578,166.978561,72.79686,95.318619,33.759998,37.449997,4.686141,92.772278,88.793541,137.182358,28.373449,42.761356,409.589996,119.43,147.410004,52.85894,14.443121,46.453842,48.249069,75.010887
"39","2015-03-01",2067.889893,24.877565,4.74,23.931862,31.100687,5.952903,2.72,67.25,42.066044,60.512146,9.22,13.93504,174.862808,70.069023,96.85405,41.200001,35.680756,3.976686,90.61499,87.749092,139.771088,29.015741,41.822544,422.23999,117.970001,144.320007,52.255142,14.059431,46.427197,47.420681,71.820717
"40","2015-04-01",2085.51001,26.393833,5.13,25.777283,33.406986,7.119907,2.48,59.740002,38.566986,58.573704,9.32,13.055607,140.015396,67.991066,93.090096,39.110001,37.485752,3.565948,93.544266,86.527924,138.074799,28.29847,41.903774,373.929993,123.279999,141.210007,54.566849,14.59825,47.024605,49.077457,71.442711
"41","2015-05-01",2107.389893,26.696024,4.65,28.582024,38.156982,6.165085,2.35,54.59,35.229446,59.104031,10.52,14.155532,143.393784,67.572433,95.102936,36.91,38.037815,3.696638,92.836433,87.347847,136.632019,28.98238,44.096138,396.98999,128.289993,143,57.117687,15.120597,47.75856,49.776989,73.536636
"42","2015-06-01",2063.110107,27.453468,4.56,26.692669,38.049026,5.764296,2.67,53.009998,31.464041,59.086876,10.49,14.38508,162.223114,67.44313,91.887466,36.709999,37.012558,3.332575,90.371841,85.630119,134.897919,28.196251,44.531658,403.940002,123.480003,136.110001,58.836956,15.597126,48.322742,50.892868,71.691788
"43","2015-07-01",2103.840088,26.850605,3.37,28.577457,39.903881,4.833049,4.25,56.389999,34.491039,69.468124,10.35,15.878914,194.005646,66.115646,98.883705,35.970001,39.054451,3.033856,98.84977,88.04631,155.169479,30.323799,45.992458,318.779999,135,142.740005,59.50555,16.434378,49.723274,53.859467,70.423035
"44","2015-08-01",1972.180054,26.189951,5.06,26.08128,38.873405,4.813117,4.28,56.970001,34.967434,69.91748,9.09,15.246057,185.369186,61.4165,98.893005,33.34,34.729427,2.399081,91.593163,82.572525,133.369003,27.969206,41.610466,304.48999,133.75,134.039993,56.022709,15.110799,46.423855,49.313213,71.034119
